,Symbol,Security,GICS Sector,GICS Sub-Industry,is_esg
449,TT,Trane Technologies,Industrials,Building Products,1
450,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,1
451,TWTR,Twitter,Communication Services,Interactive Media & Services,0
452,TXN,Texas Instruments,Information Technology,Semiconductors,1
453,TXT,Textron,Industrials,Aerospace & Defense,0
454,TYL,Tyler Technologies,Information Technology,Application Software,0
455,UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1
456,UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1
457,UAL,United Airlines,Industrials,Airlines,0
458,UDR,UDR,Real Estate,Residential REITs,0
459,UHS,Universal Health Services,Health Care,Health Care Facilities,0
460,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,0
461,UNH,UnitedHealth Group,Health Care,Managed Health Care,1
462,UNP,Union Pacific,Industrials,Railroads,1
463,UPS,United Parcel Service,Industrials,Air Freight & Logistics,1
464,URI,United Rentals,Industrials,Trading Companies & Distributors,1
465,USB,U.S. Bancorp,Financials,Diversified Banks,0
466,V,Visa,Information Technology,Data Processing & Outsourced Services,1
467,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1
468,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,0
469,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,0
470,VMC,Vulcan Materials,Materials,Construction Materials,0
471,VNO,Vornado Realty Trust,Real Estate,Office REITs,1
472,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,1
473,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,0
474,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,1
475,VTR,Ventas,Real Estate,Health Care REITs,1
476,VTRS,Viatris,Health Care,Pharmaceuticals,1
477,VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,1
478,WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,1
479,WAT,Waters Corporation,Health Care,Health Care Distributors,1
480,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1
481,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",0
482,WEC,WEC Energy Group,Utilities,Electric Utilities,0
483,WELL,Welltower,Real Estate,Health Care REITs,1
484,WFC,Wells Fargo,Financials,Diversified Banks,0
485,WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,1
486,WM,Waste Management,Industrials,Environmental & Facilities Services,1
487,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1
488,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1
489,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,0
490,WRK,WestRock,Materials,Paper Packaging,1
491,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,1
492,WTW,Willis Towers Watson,Financials,Insurance Brokers,0
493,WY,Weyerhaeuser,Real Estate,Specialized REITs,1
494,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,0
495,XEL,Xcel Energy,Utilities,Multi-Utilities,0
496,XLNX,Xilinx,Information Technology,Semiconductors,0
497,XOM,ExxonMobil,Energy,Integrated Oil & Gas,1
498,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,0
499,XYL,Xylem,Industrials,Industrial Machinery,1
500,YUM,Yum! Brands,Consumer Discretionary,Restaurants,1
501,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,0
502,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,1
503,ZION,Zions Bancorp,Financials,Regional Banks,0
504,ZTS,Zoetis,Health Care,Pharmaceuticals,0
